2023-03-13 09:14:31,533 - django.db.backends - DEBUG - (0.001) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."expire_date" > '2023-03-13 09:14:31.528738' AND "django_session"."session_key" = 'bswotiz3czskfa0ugmjs82y9x4v6l8r9') LIMIT 21; args=('2023-03-13 09:14:31.528738', 'bswotiz3czskfa0ugmjs82y9x4v6l8r9'); alias=default
2023-03-13 09:14:31,537 - django.db.backends - DEBUG - (0.000) SELECT "customer_customer"."id", "customer_customer"."password", "customer_customer"."last_login", "customer_customer"."is_superuser", "customer_customer"."created", "customer_customer"."modified", "customer_customer"."modified_by", "customer_customer"."created_by", "customer_customer"."first_name", "customer_customer"."middle_name", "customer_customer"."last_name", "customer_customer"."pan_no", "customer_customer"."email", "customer_customer"."is_active", "customer_customer"."is_staff", "customer_customer"."token_id" FROM "customer_customer" WHERE "customer_customer"."id" = 17 LIMIT 21; args=(17,); alias=default
2023-03-13 09:14:31,538 - django.db.backends - DEBUG - (0.000) SELECT COUNT(*) AS "__count" FROM "kbapp_amcfundscheme"; args=(); alias=default
2023-03-13 09:14:31,538 - django.db.backends - DEBUG - (0.000) SELECT COUNT(*) AS "__count" FROM "kbapp_amcfundscheme"; args=(); alias=default
2023-03-13 09:14:31,541 - django.db.backends - DEBUG - (0.000) SELECT "kbapp_amcfundscheme"."created", "kbapp_amcfundscheme"."modified", "kbapp_amcfundscheme"."is_active", "kbapp_amcfundscheme"."modified_by", "kbapp_amcfundscheme"."created_by", "kbapp_amcfundscheme"."AMCFund_id", "kbapp_amcfundscheme"."amcfundscheme_id", "kbapp_amcfundscheme"."name", "kbapp_amcfundscheme"."rta_amc_code", "kbapp_amcfundscheme"."rta_scheme_code", "kbapp_amcfundscheme"."rta_rta_scheme_code", "kbapp_amcfundscheme"."rta_amc_scheme_code", "kbapp_amcfundscheme"."rta_plan_code", "kbapp_amcfundscheme"."rta_scheme_plan", "kbapp_amcfundscheme"."rta_option_code", "kbapp_amcfundscheme"."rta_scheme_option", "kbapp_amcfundscheme"."rta_scheme_active_flag", "kbapp_amcfundscheme"."nfo_start_date", "kbapp_amcfundscheme"."nfo_end_date", "kbapp_amcfundscheme"."rta_purchase_cutoff_time", "kbapp_amcfundscheme"."rta_redemption_cutoff_time", "kbapp_amcfundscheme"."rta_purchase_allowed", "kbapp_amcfundscheme"."is_being_sold", "kbapp_amcfundscheme"."rta_redemption_allowed", "kbapp_amcfundscheme"."rta_switch_flag", "kbapp_amcfundscheme"."rta_swp_flag", "kbapp_amcfundscheme"."rta_stp_flag", "kbapp_amcfundscheme"."rta_sip_flag", "kbapp_amcfundscheme"."rta_isin", "kbapp_amcfundscheme"."nfo_face_value", "kbapp_amcfundscheme"."amfi_scheme_code", "kbapp_amcfundscheme"."nfo_reopening_date", "kbapp_amcfundscheme"."is_nfo", "kbapp_amcfundscheme"."rta_minimum_purchase_amount", "kbapp_amcfundscheme"."rta_additional_purchase_amount_multiple", "kbapp_amcfundscheme"."rta_redemption_amount_minimum", "kbapp_amcfundscheme"."is_direct_fund", "kbapp_amcfundscheme"."is_regular_fund", "kbapp_amcfundscheme"."is_growth_fund", "kbapp_amcfundscheme"."is_div_payout_fund", "kbapp_amcfundscheme"."is_div_reinvestment_fund", "kbapp_amcfundscheme"."rta_scheme_planoptiondesc", "kbapp_amcfundscheme"."rta_stp_reg_in", "kbapp_amcfundscheme"."rta_stp_reg_out", "kbapp_amcfundscheme"."rta_scheme_name", "kbapp_amcfundscheme"."rta_lock_in_period_flag", "kbapp_amcfundscheme"."rta_lock_in_period", "kbapp_amcfundscheme"."rta_scheme_type", "kbapp_amcfund"."created", "kbapp_amcfund"."modified", "kbapp_amcfund"."is_active", "kbapp_amcfund"."modified_by", "kbapp_amcfund"."created_by", "kbapp_amcfund"."AMC_id", "kbapp_amcfund"."amcfund_id", "kbapp_amcfund"."rta_fund_code", "kbapp_amcfund"."name", "kbapp_amcfund"."fund_type", "kbapp_amcfund"."fund_category", "kbapp_amcfund"."fund_sub_type", "kbapp_amcfund"."risk_factor", "kbapp_amcfund"."description", "kbapp_amcfund"."assets_under_management", "kbapp_amcfund"."assets_under_management_date", "kbapp_amcfund"."launch_date", "kbapp_amcfund"."is_being_sold", "kbapp_amcfund"."direct_advantage_savings", "kbapp_amcfund"."smart_savings", "kbapp_amcfund"."exit_load_codes", "kbapp_amcfund"."fund_class", "kbapp_amcfund"."fund_type_id", "kbapp_amcfund"."scheme_information_document_url", "kbapp_amcfund"."amcfund_rating", "kbapp_amcfund"."direct_plan_expense_ratio_in_perc", "kbapp_amcfund"."regular_plan_expense_ratio_in_perc", "kbapp_amcfund"."expense_ratio_as_on_date", "kbapp_amcfund"."fund_manager", "kbapp_amcfund"."fund_objective", "kbapp_amcfund"."fund_manager_since", "kbapp_amcfund"."turn_over_ratio", "kbapp_amcfund"."turn_over_ratio_date", "kbapp_amc"."created", "kbapp_amc"."modified", "kbapp_amc"."is_active", "kbapp_amc"."modified_by", "kbapp_amc"."created_by", "kbapp_amc"."amc_id", "kbapp_amc"."name", "kbapp_amc"."amfi_nav_download_dropdown_code", "kbapp_amc"."amc_assets_under_management", "kbapp_amc"."amc_aum_date", "kbapp_amc"."description", "kbapp_amc"."is_being_sold", "kbapp_amc"."f_amc_code", "kbapp_amc"."amc_logo", "kbapp_amc"."amc_website_url", "kbapp_amc"."scheme_information_document_url", "kbapp_amc"."nominee_url", "kbapp_amc"."expense_ratio_url", "kbapp_amc"."expense_ratio_url_remarks", "kbapp_amc"."last_nav_pull_date_from_amfi", "kbapp_amc"."rta_amc_code", "kbapp_amc"."is_isip_available", "kbapp_amc"."cio", "kbapp_amc"."ceo", "kbapp_amc"."management_trustee", "kbapp_amc"."start_date", "kbapp_amc"."phone", "kbapp_amc"."email", "kbapp_amc"."owner_type", "kbapp_amc"."address1", "kbapp_amc"."address2", "kbapp_amc"."address3", "kbapp_amc"."city", "kbapp_amc"."pin" FROM "kbapp_amcfundscheme" INNER JOIN "kbapp_amcfund" ON ("kbapp_amcfundscheme"."AMCFund_id" = "kbapp_amcfund"."amcfund_id") INNER JOIN "kbapp_amc" ON ("kbapp_amcfund"."AMC_id" = "kbapp_amc"."amc_id") ORDER BY "kbapp_amcfundscheme"."amcfundscheme_id" ASC LIMIT 100; args=(); alias=default
2023-03-13 09:14:31,674 - django.db.backends - DEBUG - (0.000) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."expire_date" > '2023-03-13 09:14:31.674047' AND "django_session"."session_key" = 'bswotiz3czskfa0ugmjs82y9x4v6l8r9') LIMIT 21; args=('2023-03-13 09:14:31.674047', 'bswotiz3czskfa0ugmjs82y9x4v6l8r9'); alias=default
2023-03-13 09:14:31,675 - django.db.backends - DEBUG - (0.000) SELECT "customer_customer"."id", "customer_customer"."password", "customer_customer"."last_login", "customer_customer"."is_superuser", "customer_customer"."created", "customer_customer"."modified", "customer_customer"."modified_by", "customer_customer"."created_by", "customer_customer"."first_name", "customer_customer"."middle_name", "customer_customer"."last_name", "customer_customer"."pan_no", "customer_customer"."email", "customer_customer"."is_active", "customer_customer"."is_staff", "customer_customer"."token_id" FROM "customer_customer" WHERE "customer_customer"."id" = 17 LIMIT 21; args=(17,); alias=default
2023-03-13 09:14:33,409 - django.db.backends - DEBUG - (0.001) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."expire_date" > '2023-03-13 09:14:33.405758' AND "django_session"."session_key" = 'bswotiz3czskfa0ugmjs82y9x4v6l8r9') LIMIT 21; args=('2023-03-13 09:14:33.405758', 'bswotiz3czskfa0ugmjs82y9x4v6l8r9'); alias=default
2023-03-13 09:14:33,411 - django.db.backends - DEBUG - (0.000) SELECT "customer_customer"."id", "customer_customer"."password", "customer_customer"."last_login", "customer_customer"."is_superuser", "customer_customer"."created", "customer_customer"."modified", "customer_customer"."modified_by", "customer_customer"."created_by", "customer_customer"."first_name", "customer_customer"."middle_name", "customer_customer"."last_name", "customer_customer"."pan_no", "customer_customer"."email", "customer_customer"."is_active", "customer_customer"."is_staff", "customer_customer"."token_id" FROM "customer_customer" WHERE "customer_customer"."id" = 17 LIMIT 21; args=(17,); alias=default
2023-03-13 09:14:33,414 - django.db.backends - DEBUG - (0.000) SELECT COUNT(*) AS "__count" FROM "kbapp_amcfundscheme"; args=(); alias=default
2023-03-13 09:14:33,414 - django.db.backends - DEBUG - (0.000) SELECT COUNT(*) AS "__count" FROM "kbapp_amcfundscheme"; args=(); alias=default
